Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.00001057,09-25-2013 16:01:07,30.00001115,1,1,0,3.294121265,0,0,0,0,0,0,0,0,0
2,60.00014728,09-25-2013 16:01:37,60.00014786,1,1,0,3.293959379,0,0,0,0,0,0,0,0,0
3,90.01594254,09-25-2013 16:02:08,30.01538236,2,1,2.599744081,3.497834206,0.021676731,0,0.075145496,0,0.001158735,0,0,0,0
4,120.0312468,09-25-2013 16:02:38,60.03068665,2,1,2.599744081,3.527467966,0.043353091,0,0.151289955,0,0.000971492,0,0,0,0
5,150.0456685,09-25-2013 16:03:08,90.04510823,2,1,2.599744081,3.563903093,0.065017002,0,0.228079233,0,0.001388274,0,0,0,0
6,180.0615511,09-25-2013 16:03:38,120.0609909,2,1,2.599563837,3.620579958,0.086703474,0,0.305932675,0,0.002260011,0,0,0,0
7,210.0767348,09-25-2013 16:04:08,150.0761747,2,1,2.599744081,3.709481716,0.108378381,0,0.385309887,0,0.003454676,0,0,0,0
8,240.0915944,09-25-2013 16:04:38,180.0910342,2,1,2.599744081,3.827531576,0.130042061,0,0.466901008,0,0.004377373,0,0,0,0
9,270.106746,09-25-2013 16:05:08,210.1061855,2,1,2.599744081,3.978615999,0.151728086,0,0.551459865,0,0.005682812,0,0,0,0
10,288.4034187,09-25-2013 16:05:26,228.4028583,2,1,2.599744081,4.100066662,0.164940737,0,0.604801905,0,0.007199782,0,0,0,0
11,318.4187401,09-25-2013 16:05:56,30.01509723,3,1,1.378311038,4.099742413,0.180402416,0,0.66818942,0,0,0,0,0,0
12,348.4341638,09-25-2013 16:06:26,60.03052096,3,1,0.857750416,4.099742413,0.189490134,0,0.705446238,0,0,0,0,0,0
